id_cliente,data_entrada,data_saida
21.850,2023-09-11,
21.829,2023-10-06,
21.822,2023-10-06,
21.815,2023-10-06,
21.808,2023-10-06,
21.787,2023-10-06,
21.773,2023-10-06,
21.759,2023-09-19,
21.752,2023-09-19,2023-09-19
21.745,2023-10-04,
21.738,2023-10-06,
21.731,2023-10-04,
21.724,2023-10-06,
21.710,2023-09-29,
21.703,2023-10-02,
21.689,2023-10-03,
21.682,2023-10-03,
21.675,2023-10-05,
21.668,2023-09-30,
21.640,2023-10-02,
21.633,2023-09-29,
21.626,2023-09-30,
21.619,2023-09-28,
21.605,2023-09-29,
21.584,2023-09-27,
21.577,2023-10-09,
21.570,2023-09-30,
21.549,2023-09-29,
21.542,2023-09-28,
21.535,2023-09-26,
21.528,2023-10-04,
21.514,2023-09-27,
21.493,2023-09-28,
21.472,2023-10-06,
21.465,2023-10-06,
21.451,2023-09-27,
21.444,2023-09-27,
21.437,2023-09-27,
21.416,2023-09-26,
21.409,2023-09-26,
21.388,2023-09-28,
21.381,2023-10-02,
21.367,2023-09-25,
21.360,2023-09-27,
21.353,2023-03-16,2023-10-09
21.346,2022-04-18,
21.339,2023-05-13,
21.332,2023-01-19,
21.325,2023-09-22,
21.318,2023-05-12,
21.311,2023-04-05,
21.304,2023-08-17,
21.297,2022-12-01,
21.290,2023-09-21,
21.269,2023-09-21,
21.262,2023-09-22,
21.248,2023-09-20,
21.241,2023-09-21,
21.234,2023-09-22,
21.213,2023-09-19,
21.192,2023-09-21,
21.185,2023-09-19,
21.178,2023-10-06,
21.171,2023-09-20,
21.164,2023-09-18,
21.143,2023-09-18,
21.136,2023-09-29,
21.129,2023-09-19,
21.115,2023-09-15,
21.108,2023-09-15,
21.101,2023-09-18,
21.094,2023-09-14,
21.017,2023-09-13,
21.010,2023-09-13,
21.003,2023-09-14,
20.996,2023-09-21,
20.982,2023-09-12,
20.975,2023-09-12,
20.968,2023-09-13,
20.961,2023-09-14,
20.947,2023-09-14,
20.933,2023-09-08,
20.919,2023-09-08,
20.905,2023-09-08,
20.898,2023-09-07,
20.884,2023-09-11,
20.877,2023-09-04,
20.863,2023-09-25,
20.856,2023-09-08,
20.842,2023-09-18,
20.828,2023-09-05,
20.800,2023-09-14,
20.793,2023-09-12,
20.786,2023-09-06,
20.765,2023-09-05,
20.751,2023-09-04,
20.737,2023-09-04,
20.730,2023-08-31,
20.723,2023-08-31,
20.709,2023-08-31,
20.702,2023-08-31,
20.695,2023-08-31,
20.688,2023-08-31,
20.681,2023-09-25,
20.674,2023-08-07,
20.667,2023-08-07,
20.660,2023-08-31,
20.653,2023-08-30,
20.639,2023-08-31,
20.625,2023-08-30,
20.618,2023-08-30,
20.611,2023-08-31,
20.597,2023-08-30,
20.590,2023-08-29,
20.583,2023-08-29,
20.576,2023-08-29,
20.569,2023-08-29,
20.562,2023-08-28,
20.555,2023-08-28,
20.548,2023-08-28,
20.541,2023-08-29,
20.513,2023-08-28,
20.499,2023-08-30,
20.492,2023-08-30,
20.485,2023-09-05,
20.478,2023-08-28,
20.471,2023-08-24,
20.464,2023-08-23,
20.457,2023-08-24,
20.450,2023-08-31,
20.443,2023-08-23,
20.436,2023-08-24,
20.429,2023-08-25,
20.422,2023-08-29,
20.415,2023-08-24,
20.408,2023-08-23,
20.401,2023-08-29,
20.394,2023-08-30,
20.387,2023-09-11,
20.380,2023-08-18,
20.373,2023-08-21,
20.359,2023-08-18,
20.352,2023-08-22,
20.345,2023-08-18,
20.338,2023-08-18,
20.331,2023-08-18,
20.317,2023-08-21,
20.310,2023-08-16,
20.289,2023-08-16,
20.282,2023-08-17,
20.275,2023-08-18,
20.226,2023-08-18,
20.219,2023-08-18,
20.212,2023-08-16,
20.191,2023-08-14,
20.184,2023-08-15,
20.177,2023-08-17,
20.163,2023-09-18,
20.156,2023-08-11,
20.149,2023-08-14,
20.128,2023-08-10,
20.121,2023-08-09,
20.114,2023-08-14,
20.107,2023-08-14,
20.100,2023-08-15,
20.093,2023-08-10,
20.086,2023-10-06,
20.079,2023-08-11,
20.072,2023-08-11,
20.065,2023-08-11,
20.058,2023-08-11,
20.051,2023-08-09,
20.044,2023-08-10,
20.037,2023-08-10,
20.030,2023-08-08,
20.023,2023-08-08,
20.016,2023-08-24,
20.009,2023-08-10,
20.002,2023-08-08,
19.995,2023-08-01,
19.981,2023-08-04,
19.974,2023-08-04,
19.967,2023-08-02,
19.939,2023-09-15,
19.932,2023-08-04,
19.925,2023-07-31,
19.883,2023-07-31,
19.876,2023-07-31,
19.869,2023-07-31,
19.827,2023-07-31,
19.820,2023-08-03,
19.813,2023-08-03,
19.799,2023-07-31,
19.792,2023-07-28,
19.785,2023-07-31,
19.722,2023-07-28,
19.715,2023-07-31,
19.316,2023-07-31,2023-09-19
19.309,2023-07-30,
19.302,2023-08-17,
19.288,2023-07-24,
19.281,2023-07-24,
19.274,2023-08-07,
19.260,2023-07-28,
19.253,2023-08-10,2023-08-29
19.246,2023-07-27,
19.232,2023-07-31,
19.225,2023-07-26,
19.218,2023-07-31,
19.211,2023-07-26,
19.176,2023-07-27,
19.169,2023-07-28,
19.162,2023-07-27,
19.155,2023-07-21,
19.148,2023-08-16,
19.141,2023-07-31,2023-08-16
19.113,2023-07-21,
19.015,2023-07-27,
19.008,2023-07-21,
19.001,2023-07-21,
18.994,2023-07-21,
18.987,2023-07-25,
18.980,2023-07-21,
18.959,2023-07-27,
18.952,2023-07-18,
18.938,2023-07-25,
18.931,2023-07-26,
18.917,2023-07-26,
18.910,2023-07-25,
18.903,2023-07-28,
18.896,2023-08-08,
18.889,2023-07-25,
18.882,2023-07-18,
18.875,2023-07-15,
18.868,2023-07-14,
18.861,2023-07-17,
18.854,2023-07-17,
18.847,2023-07-14,
18.840,2023-07-10,
18.833,2023-07-10,
18.826,2023-07-12,
18.819,2023-09-01,
18.812,2023-07-01,
18.805,2023-07-06,2023-10-06
18.798,2023-07-06,2023-10-06
18.791,2023-07-06,2023-09-28
18.784,2023-07-07,2023-09-22
18.777,2023-07-19,
18.770,2023-07-07,
18.763,2023-07-10,
18.756,2023-07-11,
18.686,2023-07-05,
18.679,2023-07-04,
18.637,2023-06-30,
18.630,2023-06-30,
18.623,2023-07-31,
18.616,2023-07-06,
18.609,2023-07-26,
18.602,2023-07-04,
18.595,2023-07-05,
18.588,2023-07-10,
18.581,2023-06-30,
18.574,2023-08-17,2023-08-17
18.567,2023-07-07,
18.560,2023-06-30,
18.553,2023-08-11,
18.546,2023-07-07,
18.539,2023-07-07,
18.532,2023-06-29,2023-09-06
18.511,2023-07-07,
18.504,2023-08-01,
18.497,2023-07-31,2023-09-04
18.490,2023-07-24,
18.476,2023-06-29,2023-07-25
18.462,2023-07-05,
18.448,2023-06-24,
18.434,2023-07-05,
18.357,2023-06-24,
18.350,2023-06-24,
18.343,2023-06-24,
18.329,2023-05-02,
18.322,2023-06-24,
18.315,2023-06-24,
18.308,2023-06-24,
18.301,2023-06-24,
18.294,2023-06-24,
